Bundestagswahl 2013
 Zwischenergebnis
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
9;"Ostholstein - Stormarn-Nord";1;179437;179987;;;129075;131917;;;1540;4043;1448;3094;127535;127874;127627;128823;58372;49363;52428;42193;47401;43765;40329;36329;2879;14397;7822;22701;4404;8235;5576;9342;6941;10411;10215;13651;;;;;2028;;2082;2062;715;1270;727;1192;;;893;;;;;;;;;;;;;;;;;;;;480;1178;;;;;;;;;;;;;;;;;;;42;43;;;;;;;;;4795;;6336;;;;;;;;;;;;;;;;;;;;697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;433;;132;
10;"Herzogtum Lauenburg - Stormarn-Süd";1;240158;237144;;;182986;181568;;;1708;3884;1567;3259;181278;177684;181419;178309;81953;70874;73608;59075;62751;53073;53939;45354;3902;19742;10876;30714;6826;12351;8961;13855;12780;18761;16580;22240;;;;;2908;;3029;3248;1356;2330;1377;2126;;;1387;;;;;;;;;;;;;;;;;;;;634;1445;;;;;;;;;;;;;;553;;;;;42;48;;;;;;;;;8351;;10210;;;;;;;;;;;;;;;;;;;;776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;451;;;204;
11;"Lübeck";1;181921;180424;;;124733;124624;;;1580;3524;1460;3284;123153;121100;123273;121340;44858;36745;42241;32970;50159;44393;42094;36578;2958;13296;5857;17173;6662;10973;7972;12002;9477;14098;13639;16764;;;;;2825;;2963;3010;948;1595;974;1412;;;915;;;;;;;;;;;;;;;;;;;;423;1197;;;;;;;;;;;;;;;;;;;93;90;;;;;;;;;4152;;5318;;;;;;;;;;;;;;;;;;1114;;784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;
1;"Schleswig-Holstein";99;2246793;2234720;;;1642842;1644384;;;18815;39494;17569;34882;1624027;1604890;1625273;1609502;707217;615798;637397;518457;595959;519995;512934;430739;37421;170070;91494;261767;66096;113319;84079;127203;111713;161626;152847;203782;;;;;31588;;32152;33277;11017;17139;11201;15848;;;12847;;;;;;;;;;;;;;;;;;919;;6838;16006;;;;;;;;;;;;;;553;;;;;562;616;;;;;;;;;58564;;74175;;;;;;;;;;;;;;;;;;2676;;8747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;857;6390;;1807;

18;"Hamburg-Mitte";2;;249150;;;;164566;;;;2660;;2033;;161906;;162533;;43306;;38459;;56125;;45904;;12700;;18915;;21173;;22111;;26261;;26984;;;;;;;;6142;;2341;;1817;;;;;;;;;;;;659;;;;;;;;;;;;1171;;;;;;;;;;;;;;;;;;;;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243;
19;"Hamburg-Altona";2;182776;178340;;;136025;133657;;;1485;1552;1439;1358;134540;132105;134586;132299;43700;39303;39623;34197;47005;47298;40128;33225;2630;10655;7383;17246;13765;13206;14459;16340;18343;18888;22043;25459;;;;;2987;;3610;3513;519;780;548;802;;;;;;;;;;709;323;563;;;;;;;;;;;562;762;;;;;;;;;;151;;;;;;;157;158;119;88;;;;;;;;;3101;;4330;;;;;;;;;;;;;;;;;;503;;387;;;;;;;;;;1338;;1071;;;;;;;;;;;;;;;;;;492;957;;104;
20;"Hamburg-Eimsbüttel";2;;185790;;;;141650;;;;1881;;1290;;139769;;140360;;43661;;37644;;33272;;37645;;11712;;18823;;12484;;14653;;36381;;25703;;;;;;;;3523;;967;;797;;;;;;;;;;;;426;;;;;;;;;;;;932;;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1292;;144;
21;"Hamburg-Nord";2;;207016;;;;163012;;;;1821;;1357;;161191;;161655;;61873;;50174;;53469;;40909;;12766;;25269;;10805;;13429;;21268;;26306;;;;;;;;3289;;1010;;794;;;;;;;;;;;;411;;;;;;;;;;;;876;;;;;;;;;;;;;;;;;;;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;
22;"Hamburg-Wandsbek";2;218797;217147;;;146656;150049;;;2028;2126;1848;1686;144628;147923;144808;148363;53917;53958;50576;44770;57756;51460;50156;42705;2774;11408;6546;20181;9514;14021;10973;16205;9223;13914;12520;17518;;;;;3314;;3418;3158;1378;1972;1333;1674;;;;;;;;;;1190;226;527;;;;;;;;;;;805;1314;;;;;;;;;;;;;;;;;;;37;50;;;;;;;;;6018;;7008;;;;;;;;;;;;;;;;;;734;;619;;;;;;;;;;;;591;;;;;;;;;;;;;;;;;;;;;261;
23;"Hamburg-Bergedorf - Harburg";2;221888;219191;;;141782;143119;;;2165;2355;2074;1991;139617;140764;139708;141128;49745;46303;47259;41423;56460;54965;48989;42554;2221;10727;4914;16709;10511;14430;11716;16358;8980;11728;12760;16484;;;;;3173;;3577;3543;1437;2111;1383;1795;;;;;;;;;627;;403;402;;;;;;;;;;;695;1517;;;;;;;;;;500;;;;;;;;;110;63;;;;;;;;;5378;;6528;;;;;;;;;;;;;;;;;;714;;528;;;;;;;;;;;;846;;;;;;;;;;;;;;;;;;371;;;280;
