Bundestagswahl 2013
 Zwischenergebnis
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
42;"Stadt Hannover II";3;193157;190623;;;141215;140587;;;1871;1655;1925;1392;139344;138932;139290;139195;47180;44534;41684;33872;59686;55068;48292;41482;2050;8657;5983;16098;8657;12886;11129;14786;14229;15797;21559;24705;;;;;2937;;3113;4368;803;1573;736;1411;;;1171;1106;;;80;;;;;221;;;;;;;;887;;;;;;;;;;;146;;;;;;;;;;;;95;137;;;;;;;;;3802;;4749;;;;;;;;155;;;;;;;;;;;;398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;417;;122;
43;"Hannover-Land I";3;232940;232214;;;176669;175757;;;1653;2251;1529;1764;175016;173506;175140;173993;77523;66311;72324;58219;67443;67178;57897;53236;4503;14560;8729;24492;6218;11173;7928;12601;8729;11642;14302;16993;;;;;2231;;2514;3137;1615;2642;1483;2288;;;1346;1362;;;184;;;;;301;;;;;;;;1139;;;;;;;;;;;213;;;;;;;;;;;;37;46;;;;;;;;;5391;;7036;;254;;;;;;212;;;;;;;;;;1109;;935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179;
44;"Celle - Uelzen";3;215347;217316;;;157070;157137;;;1573;1991;1392;1701;155497;155146;155678;155436;75372;68572;68573;55393;53237;50107;46931;42402;2091;11351;6478;22295;5655;10130;7069;11765;9562;10801;12071;14770;;;;;;;2671;2957;1677;2501;1510;2291;;;1173;1130;;;148;;;;;190;;;;;;1684;;2023;;;;;;;;;;;184;;;;;;;;;;;;27;40;;;;;;;;;6592;;7717;;;;;;;;144;;;;;;;;;;1311;;982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;
45;"Gifhorn - Peine";3;217257;216957;;;161941;161017;;;1788;2012;1473;1822;160153;159005;160468;159195;67368;58827;64452;53085;69269;64365;57874;52292;2266;10073;5648;17875;6810;11663;7575;13314;7666;9476;11855;14217;;;;;3063;;2833;3359;1937;2029;1524;1882;;;1242;1297;;;134;;;;;181;;;;;;1346;;1497;;;;;;;;;840;838;617;;;;;;;;;;;;67;41;;;;;;;;;;;5765;;;;;;;;212;;;;;;;;;;934;;670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;388;;155;
46;"Hameln-Pyrmont - Holzminden";3;191980;197394;;;137838;143185;;;2073;2203;1950;1948;135765;140982;135888;141237;53732;49787;50937;41166;57480;55842;49409;47115;2496;10401;5985;19736;6308;11820;7198;12911;8202;10849;11429;13322;;;;;2577;;2152;2571;;2283;1271;1982;;;1031;1285;;;104;;;;;130;;;;;;;;820;;;;;;;;;;;185;;;;;;;;;;;;29;53;;;;;;;;;4970;;5543;;;;;;;;155;;;;;;;;;;;;460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146;
47;"Hannover-Land II";3;240972;239450;;;182961;183314;;;2062;2258;1674;2005;180899;181056;181287;181309;75779;65573;69637;57144;78420;73215;65179;59493;2566;12982;7229;22004;7349;11976;8669;13908;9422;12533;16210;18936;;;;;3143;;2737;3528;2247;2853;1503;2534;;;1422;1513;;;172;;;;;248;;;;;;1422;;1767;;;;;;;;;;;168;;;;;;;;;;;;53;53;;;;;;;;;;;6958;;;;;;;;308;;;;;;;;;;1973;;1042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;502;;181;
48;"Hildesheim";3;219571;222804;;;164796;167520;;;2451;2201;1795;1802;162345;165319;163001;165718;68653;60376;63046;52747;66986;64555;59315;54487;2489;10231;5589;18752;7909;11402;8122;13429;13771;14856;14588;17360;;;;;;;2937;3191;2537;2606;1482;2452;;;1208;1405;;;92;;;;;171;;;;;;1293;;1520;;;;;;;;;;;151;;;;;;;;;;;;31;52;;;;;;;;;;;5601;;;;;;;;384;;;;;;;;;;;;455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;
49;"Salzgitter - Wolfenbüttel";3;208880;213208;;;152597;157578;;;2221;2468;2633;2167;150376;155110;149964;155411;55714;50519;53649;47719;70077;69631;58816;53144;1582;9436;5143;16479;6523;12538;8460;15569;6628;9032;11010;13744;;;;;2119;;2228;2812;1940;2791;1796;2490;;;1286;1334;;;208;;;;;129;;;;;;1163;;1771;;;;;;;;;;;166;;;;;;;;;;;;39;34;;;;;;;;;4548;;5937;;;;;;;;183;;;;;;;;;;1245;;1043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186;
50;"Braunschweig";3;193799;189975;;;143754;139948;;;1650;1736;1467;1535;142104;138212;142287;138413;49695;47584;48412;40135;61971;53572;47752;39774;3243;7507;6214;15845;7118;10801;9525;13763;10115;12012;17613;19831;;;;;4011;4214;4169;4962;1033;1310;1038;1324;;;1296;1114;;;98;;;;;184;;;;;;;;1270;;;;;;;;;;;128;;;;;;;;;;117;118;116;77;;;;;;;;;3893;;5078;;;;;;;;130;;;;;;;;;;908;;718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1094;;134;
51;"Helmstedt - Wolfsburg";3;187890;187831;;;133269;135261;;;1930;2196;1497;1790;131339;133065;131772;133471;58760;52427;54188;45319;50824;46064;45834;42391;1839;8480;4796;14114;5731;10216;6440;11309;6666;10692;9004;11801;;;;;2971;;2460;2905;2599;3023;1840;2606;;;1182;1176;;;44;;;;;112;;;;;;1748;;1591;;;;;;;;;331;415;254;;;;;;;;;;;;38;46;;;;;;;;;;;4892;;;;;;;;160;;;;;;;;;;1049;;640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;569;;;101;
52;"Goslar - Northeim - Osterode";3;208244;214330;;;149418;156221;;;2601;2638;2168;2047;146817;153583;147250;154174;61723;54451;55770;46256;62203;60107;55986;50912;2249;12719;6099;21481;6804;14083;7475;14988;7833;9624;10141;12983;;;;;2372;;2142;2787;1962;2599;1486;2352;;;1086;1247;;;95;;;;;144;;;;;;;;866;;;;;;;;;;;133;;;;;;;;;;;;62;27;;;;;;;;;;;5703;;;;;;;;241;;;;;;;;;;1402;;831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;269;;;131;
53;"Göttingen";3;222103;224468;;;165818;166515;;;1992;2227;1533;1908;163826;164288;164285;164607;62553;56503;58994;47343;66191;60483;54409;48788;2633;10765;6667;22086;8579;12493;10431;14635;16735;21360;20075;23708;;;;;3219;;3170;3707;1730;2323;1279;2072;;;1178;1176;;;93;;;;;195;;;;;;;;724;;;;;;;;;;;145;;;;;;;;;;;;66;58;;;;;;;;;;;6118;;;;;;;;234;;;;;;;;;;2186;;1426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;361;;115;
3;"Niedersachsen";99;6117914;6112110;;;4489724;4482349;;;53811;59446;46196;49738;4435913;4422903;4443528;4432611;1945943;1703363;1825081;1471530;1698825;1581443;1469236;1297940;82313;350420;185604;588401;189550;331141;223788;380373;299718;370188;391799;475742;;;;;60737;4214;74595;87046;41087;60811;37436;53909;;;33805;34658;;;2799;;;;;5364;1020;;;;511;14204;;31977;;;;;;;;;2070;1253;5675;;;307;;;;;;;260;294;1412;1353;;;;;;;;;82386;;165578;;254;;;;;;5007;;;;;;;;;;29199;;21713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2040;5265;;4318;

54;"Bremen I";4;;256131;;;;188189;;;;2557;;2099;;185632;;186090;;53255;;46284;;62588;;52387;;13587;;21021;;21226;;24883;;31564;;32556;;;;;;;;4564;;2012;;1567;;;;;;;;247;;;;;;;;;;;;1617;;;;;;;;;;;;458;;;;;;;;;;343;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1057;;373;
55;"Bremen II - Bremerhaven";4;;231847;;;;154838;;;;2691;;2317;;152147;;152521;;39186;;34680;;58879;;50032;;10850;;14947;;21647;;23486;;16985;;19727;;;;;;;;3610;;2614;;2045;;;;;;;;330;;;;;;;;;;1563;;2527;;;;;;;;;;;;397;;;;;;;;;;;;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;423;;657;
4;"Bremen";99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

87;"Aachen I";5;179932;176885;;;134387;130211;;;1477;1582;1216;1194;132910;128629;133171;129017;54214;50703;48763;41146;46856;38523;36403;28937;2891;11554;8416;19464;8224;9520;10215;10911;11874;17241;17399;20765;;;;;4544;;4671;4837;745;1088;681;789;;;;672;;;116;221;;;214;149;;;;385;;;39;149;;;;314;;;;;;;;;;;17;32;;;;;;;25;34;;;137;87;;;14;9;2955;;4154;;;;123;;;;160;;;;47;;;;;;607;;555;;;;149;;;;88;;;;785;;;;;;;;;;;;;;;;;;;;;116;
88;"Aachen II";5;228375;228546;;;164576;160816;;;3027;2766;2308;2296;161549;158050;162268;158520;73621;63511;66328;53062;57635;54205;52897;45981;3827;13275;7948;23518;9418;13502;10538;14926;9096;11056;10220;12491;;;;;4543;;3712;2764;2153;2501;1697;1767;;;;1107;1256;;792;820;;;213;81;;;;792;;;77;239;;;;597;;;;;;;;;;;30;29;;;;;;;26;19;;;338;125;;;30;18;;;5337;;;;111;;;;320;;;;55;;;;;;;;551;;;;225;;;;106;;;;717;;;;;;;;;;;;;;;;;;;;;184;
89;"Heinsberg";5;188266;187605;;;134521;131761;;;2205;2409;1880;1923;132316;129352;132641;129838;70649;65143;65417;53888;37444;31111;34895;27877;2921;12342;6543;21315;5720;9859;6915;10638;7511;8933;7335;9307;;;;;3310;;3018;1976;1718;1964;1427;1532;;;;1047;;;254;413;;;145;94;;;;784;;;77;199;;;;420;;;;;;;;;;;29;24;;;;;;;18;17;;;231;145;;;44;20;3043;;4637;;;;77;;;;251;;;;26;;;;;;;;437;;;;195;;;;123;;;;547;;;;;;;;;;;;;;;;;;;;;142;
90;"Düren";5;199550;199907;;;145458;144058;;;2790;2447;2084;1979;142668;141611;143374;142079;71809;65662;63458;53597;48852;43655;42536;36209;2716;10745;7094;21383;7276;10079;8108;11924;6951;8956;8734;11102;;;;;4870;;3478;2273;;2514;1562;2066;;;;1100;;;190;259;;;149;62;;;;891;;;76;207;;;;592;;;;;;;;;;;35;28;;;;;;;31;20;;;368;201;;;40;19;;;5734;;;;67;;;;315;;;;46;;;;;;;;342;;;;237;;;;126;;;;648;;;;;;;;;;;;;;;;;;194;;;146;
91;"Rhein-Erft-Kreis I";5;247721;245417;;;182629;180037;;;6130;2597;4205;2259;176499;177440;178424;177778;83449;69845;75448;60798;63616;63487;55073;49072;5370;18620;10171;29495;7829;11215;9256;13214;9786;11195;12201;16136;;;;;6449;;3860;2688;;2620;1759;1952;;;;1333;;;248;500;;;233;151;;;;793;;;105;195;;;;933;;;;;;;;;;;47;42;;;;;;;18;33;;;403;236;;;42;29;;;6597;;;;219;;;;698;;;;78;;;;;;;;745;;;;312;;;;223;;;;688;;;;;;;;;;;;;;;;;;;458;;178;
92;"Euskirchen - Rhein-Erft-Kreis II";5;245268;245382;;;178271;176069;;;3994;3421;2797;2576;174277;172648;175474;173493;88758;75290;79054;63653;53703;50035;46981;40709;6101;20620;11611;32011;8166;11679;9055;13139;10066;12239;12544;15126;;;;;4894;;3839;2523;2589;2321;1707;1810;;;;1276;;;195;420;;;214;160;;;;931;;;97;326;;;;844;;;;;;;;;;;23;40;;;;;;;35;43;;;473;209;;;33;24;;;7183;;;;101;;;;484;;;;20;;;;;;;;580;;;;275;;;;211;;;;759;;;;;;;;;;;;;;;;;;;464;;249;
93;"Köln I";5;191268;186798;;;132837;127011;;;1443;1718;1242;1178;131394;125293;131595;125833;48231;42094;43855;34195;48633;43837;40759;33774;3244;10902;7235;18981;8584;10614;10710;12092;13514;15557;16056;20019;;;;;3361;;3501;2522;1329;1971;1032;1398;;;;816;;;168;368;;;204;146;;;;433;;;80;214;;;;454;;;;;;;;;169;;61;25;;;;;;;73;70;;;208;179;;;31;20;3885;;5367;;;;254;;;;411;;;;18;;;;;;444;;337;;;;241;;;;108;;;;886;;;;;;;;;;;;;;;;;;;318;;127;
94;"Köln II";5;233117;224430;;;184162;172562;;;1479;1350;1145;1006;182683;171212;183017;171556;73012;59710;64919;48545;59975;55471;48217;37665;4762;18455;14863;32663;9521;9550;12677;12138;26426;26614;28635;34040;;;;;3677;;4064;3237;783;1131;598;809;;;;755;;;101;227;;;328;252;;;;337;;;53;207;;;;341;;;;;;;;;116;;39;27;;;;;;281;41;41;;;212;129;;;37;28;3831;;5952;;;;132;;;;244;;;;10;;;;;;580;;406;;;;363;;;;94;;;;1032;;;;;;;;;;;;;;;;;;;;;115;
95;"Köln III";5;201923;197023;;;141714;134252;;;1764;1619;1367;1296;139950;132633;140347;132956;45999;38093;42903;33367;55021;47625;44240;37019;3158;11187;6339;17225;10883;11390;12960;13540;18047;22550;20905;24797;;;;;4161;;3789;2791;1750;1788;1057;1231;;;;847;;;151;367;;;263;201;;;;473;;;67;257;;;;456;;;;;;;;;203;;77;38;;;;;;;57;53;;;248;153;;;43;26;;;4486;;;;381;;;;488;;;;27;;;;;;728;;405;;;;293;;;;123;;;;1045;;;;;;;;;;;;;;;;;;;;;115;
96;"Bonn";5;226487;219218;;;175014;167574;;;2145;1898;1769;1655;172869;165676;173245;165919;64779;51674;62354;51654;65953;55251;45094;37387;10415;31606;14642;31483;7523;8381;11115;11624;14797;16856;23584;26573;;;;;4113;;4451;3685;;1211;827;1049;;;;786;;;96;244;;;292;208;;;;443;;;48;74;;;;280;;;;;;;;;;251;25;87;;446;;;;;47;40;;;194;137;;;21;26;4382;;7389;;;;948;;;;358;;;;26;;;;;;;;309;;;;217;;;;134;;907;;1074;;;;;;;;;;;;;;;;;;;;;139;
97;"Rhein-Sieg-Kreis I";5;234377;231404;;;172672;167034;;;2270;2203;1922;1856;170402;164831;170750;165178;84556;73959;74187;58516;50271;42568;46066;37986;4172;18727;10797;31488;7946;10523;9497;11650;10896;15389;14000;17359;;;;;3471;;3771;2887;1618;1765;1464;1462;;;;1113;;;147;271;;;239;153;;;;678;;;103;194;;;;432;;;;;;;;;;;23;21;;;;;;;19;19;1150;1581;808;741;;;38;15;5519;;7515;;;;152;;;;316;;;;23;;;;;;803;;529;;;;205;;;;138;;;;713;;;;;;;;;;;;;;;;;;;319;;193;
98;"Rhein-Sieg-Kreis II";5;213791;211859;;;164656;161746;;;2211;1994;1746;1715;162445;159752;162910;160031;85058;80363;73860;59487;44098;39489;39571;33235;5069;16012;13468;34858;5445;7430;7433;8800;11721;14046;14122;16898;;;;;3151;;3163;2445;1207;1443;1091;1188;;;;974;;;111;224;;;270;149;;;;605;;;75;163;;;;331;;;;;;;;;;;21;15;;;;;;;18;27;598;969;421;452;;;17;15;5058;;7362;;;;146;;;;299;;;;10;;;;;;1040;;585;;;;163;;;;115;;;;589;;;;;;;;;;;;;;;;;;;;;165;
99;"Oberbergischer Kreis";5;209414;211963;;;150916;150609;;;2001;2389;1969;2173;148915;148220;148947;148436;77800;71759;67438;56807;44772;41165;40185;35604;3226;12990;8446;25007;6373;9599;8055;11070;7675;10066;10347;12826;;;;;2774;;2849;2035;1486;1734;1329;1317;;;;977;;;152;380;;458;265;264;;;;905;;;70;228;;;;551;;;;;;;;;;;17;36;;;;;;;27;16;;;362;193;;;32;22;4454;;7487;;;;80;;;;473;;;;21;;;;;;;;364;;;;193;;;;126;;;;629;;;;;;;;;;;;;;;;;;355;449;;198;
100;"Rheinisch-Bergischer Kreis";5;216414;215582;;;169148;166669;;;1592;1598;1472;1541;167556;165071;167676;165128;97996;82523;73355;58572;41882;43992;43694;38415;2873;14198;11642;31480;6882;8561;8478;10832;11529;13745;15091;18582;;;;;;;3300;2346;1240;1643;1152;1227;;;;1111;;;156;353;;;263;177;;;;725;;;77;292;;;;543;;;;;;;;;;;25;47;;;;;;;30;30;;;292;197;;;24;18;4711;;7934;;;;121;;;;347;;;;27;;;;;;;;458;;;;296;;;;139;;;;775;;;;;;;;;;;;;;;;;;443;409;;181;
101;"Leverkusen - Köln IV";5;214087;213303;;;150030;146460;;;2088;2044;1595;1605;147942;144416;148435;144855;58201;51242;52884;43188;61172;53517;48511;40982;3447;11332;7213;20670;8554;11723;10615;13715;10589;13386;14282;18064;;;;;;;3820;2578;2450;2364;1574;1815;;;;1039;;;177;448;;;202;160;;;;712;;;65;292;;;;620;;;;;;;;;;;30;42;;;;;397;323;163;180;;;315;153;;;23;29;;;5807;;;;277;;;;514;;;;16;;;;;;1603;;630;;;;230;;;;102;;1529;;985;;;;;;;;;;;;;;;;;;;529;;168;
102;"Wuppertal I";5;213123;216614;;;145928;145089;;;2548;2101;2004;1915;143380;142988;143924;143174;52414;49021;47458;40972;58411;51180;46638;39244;4307;11852;8201;19458;10993;15003;12500;16743;10196;13308;14318;18285;;;;;4256;;3553;2880;2803;2337;1621;1537;;;;1009;;;392;1098;;;201;128;;;;629;;;62;189;;;;533;;;;;;;;;;;19;25;;;;;;287;131;114;;;311;169;;;37;27;;;5989;;;;187;;;;473;;;;79;;;;;;;;440;;;;227;;;;126;;;;961;;;;;;;;;;;;;;;;;;;;;134;
103;"Solingen - Remscheid - Wuppertal II";5;226117;229927;;;160943;162192;;;2371;2157;1923;1794;158572;160035;159020;160398;70270;62365;62029;51248;52932;54910;48123;42869;4168;13940;9650;26079;9222;13418;10740;15057;11334;12956;12676;16357;;;;;4432;;3901;2891;;2446;1590;1668;;;;1103;;;345;664;;;210;157;;;;819;;;80;223;;;;668;;;;;;;;;;;32;44;;;;;430;;176;91;;;320;193;;;93;26;5784;;6803;;;;259;;;;498;;;;25;;;;;;;;346;;;;200;;;;139;;;;785;;;;;;;;;;;;;;;;;;;;;241;
104;"Mettmann I";5;204551;204450;;;154575;150715;;;1801;1709;1571;1613;152774;149006;153004;149102;75632;66300;65744;52053;52857;50319;43213;36767;2993;11674;9683;27081;5715;8412;7808;10411;7748;10611;11695;15404;;;;;3133;;3253;2401;;1690;1273;1218;;;;960;;;283;628;;;229;123;;;;785;;;96;257;;;;596;;;;;;;;;;;44;48;;;;;;;26;32;;;273;164;;;31;21;4696;;7768;;;;148;;;;328;;;;47;;;;;;;;308;;;;197;;;;100;;;;457;;;;;;;;;;;;;;;;;;;;;153;
105;"Mettmann II";5;165492;168402;;;122832;122690;;;1678;1541;1404;1261;121154;121149;121428;121429;55214;48276;50170;40999;44994;43173;37507;32740;2914;11332;7408;20574;5157;8418;6630;9839;5977;8447;8388;11350;;;;;2995;;2651;1955;;1503;1096;1061;;;;756;;;198;467;;;147;95;;;;596;;;55;199;;;;422;;;;;;;;;;;26;28;;;;;;;31;28;;;211;122;;;51;20;3903;;5687;;;;96;;;;241;;;;40;;;;;;;;200;;;;177;;;;71;;;;347;;;;;;;;;;;;;;;;;;;;;178;
106;"Düsseldorf I";5;218884;218215;;;164985;159600;;;1635;1586;1354;1214;163350;158014;163631;158386;78203;68749;65980;52747;47718;45125;43254;35625;5820;16472;14983;31626;8654;10266;10503;11962;13428;15894;15444;19967;;;;;3063;;3458;2554;824;1304;769;804;;;;876;466;;379;734;;;182;104;;;;405;;;63;155;;;;439;;;;;;;;;;;33;38;;;;;173;204;81;71;;;202;114;;;28;28;5001;;6842;;;;150;;;;199;;;;23;;;;;;;;241;;;;187;;;;90;;;;540;;;;;;;;;;;;;;;;;;;;;137;
107;"Düsseldorf II";5;196248;195910;;;139384;134823;;;1974;1690;1342;1328;137410;133133;138042;133495;55988;50233;51049;40906;48070;44295;41742;34873;3980;10758;7978;20625;12538;12948;10704;13244;10315;13137;13399;16897;;;;;3848;;3509;2499;1330;1560;1048;900;;;;841;961;;550;1002;;;188;108;;;;511;;;65;208;;;;495;;;;;;;;;380;;81;28;;;;;;202;61;64;;;245;119;;;35;23;;;5845;;;;154;;;;283;;;;18;;;;;;;;256;;;;194;;;;86;;;;552;;;;;;;;;;;;;;;;;;;;;152;
108;"Neuss I";5;214614;213950;;;154444;149942;;;1878;1966;1634;1695;152566;147976;152810;148247;78713;70787;69482;55419;46618;43614;42603;36812;3507;12763;9420;25944;5983;8709;7604;9755;7226;9935;9364;12133;;;;;3891;;3666;2556;1665;2168;1502;1543;;;;989;;;226;530;;;187;107;;;;813;;;92;242;;;;603;;;;;;;;;;;43;22;;;;;;;39;30;;;297;133;;;39;22;4155;;6277;;;;201;;;;357;;;;27;;;;;;808;;646;;;;168;;;;110;;;;460;;;;;;;;;;;;;;;;;;;;;594;
109;"Mönchengladbach";5;192676;194294;;;127559;124190;;;1952;1774;1618;1444;125607;122416;125941;122746;63843;55784;55030;43020;36665;33852;35447;30018;2847;11573;7414;22148;7827;9233;8080;10241;7638;10162;7792;10876;;;;;;;3149;2191;1663;1569;1339;1231;;;;906;;;145;301;;;158;84;;;;526;;;45;196;;;;526;;;;;;;;;;;20;20;;;;;;;30;31;;;197;104;;;22;19;4260;;5233;;;;146;;;;310;;;;20;;;;;;;;316;;;;179;;;;123;;864;;746;;;;;;;;;;;;;;;;;;;243;;308;
110;"Krefeld I - Neuss II";5;202204;204291;;;150598;149731;;;1863;1695;1581;1473;148735;148036;149017;148258;73012;62639;66617;53252;45995;43087;40809;35551;5429;18168;10883;28625;6156;8641;7758;10016;8685;12043;10294;13867;;;;;3367;;3167;2267;1409;1358;1186;1012;;;;926;;;168;345;;;166;90;;2100;;1028;;;78;195;;;;522;;;;;;;;;;;34;32;;;;;;;42;44;;;301;121;;;34;20;3621;;5728;;;;157;;;;291;;;;29;;;;;;523;;449;;;;151;;;;80;;538;;595;;;;;;;;;;;;;;;;;;;;;345;
111;"Viersen";5;227631;227805;;;167490;164366;;;1887;1990;1694;1658;165603;162376;165796;162708;87762;79359;76745;61723;47199;41691;44104;36743;3857;15755;10493;30071;7998;11102;8898;11935;8880;12633;11106;14433;;;;;3466;;3466;2554;1684;1836;1555;1428;;;;1269;;;146;302;;;204;130;;;;840;;;130;171;;;;723;;;;;;;;;;;37;22;;;;;;;32;22;;;354;133;;;80;25;4182;;6737;;;;105;;;;303;;;;20;;;;;;575;;457;;;;159;;;;113;;;;552;;;;;;;;;;;;;;;;;;;;;184;
112;"Kleve";5;225823;226029;;;161866;158453;;;2380;2128;1710;1714;159486;156325;160156;156739;81216;76480;77868;66161;52785;46290;43253;36810;5003;14620;9059;25249;;8787;7328;9566;9217;10148;9856;12355;;;;;4325;;3202;2277;1624;;1293;1045;;;;974;;;115;299;;;197;138;;;;819;;;94;166;;;;511;;;;;;;;;;;24;29;;;;;;;32;25;;;280;115;;;41;15;5316;;6282;;;;47;;;;306;;;;30;;;;;;;;234;;;;137;;;;102;;;;376;;;;;;;;;;;;;;;;;;;;;185;
113;"Wesel I";5;207485;207451;;;153978;151261;;;1733;1740;1508;1553;152245;149521;152470;149708;66173;57576;59971;49564;59707;57225;53249;48139;2781;10624;7224;19441;7536;11071;9091;12676;7489;9873;9780;12853;;;;;3559;;3154;2335;;1569;1646;1323;;;;969;;;229;395;;;158;114;;1583;;923;491;;249;187;;;;446;;;;;;;;;;;25;28;;;;;;;36;30;;;256;97;;;28;15;4509;;5672;;;;85;;;;345;;;;41;;;;;;;;294;;;;178;;;;116;;;;643;;;;;;;;;;;;;;;;;;;;;173;
114;"Krefeld II - Wesel II";5;182593;182878;;;131182;129601;;;1964;1681;1487;1412;129218;127920;129695;128189;51835;44906;47819;38812;53578;50636;44854;40990;3245;11098;7231;18168;6984;10123;8546;11438;6877;9462;9484;12727;;;;;3027;;2739;2078;2039;1425;1463;1091;;;;841;;;167;308;;;126;76;;;;535;;;74;187;;;;539;;;;;;;;;;;30;21;;;;;268;270;110;108;;;222;102;;;27;20;;;5084;;;;143;;;;404;;;;26;;;;;;731;;401;;;;109;;;;106;;634;;530;;;;;;;;;;;;;;;;;;;;;148;
115;"Duisburg I";5;;174332;;;;119956;;;;1747;;1546;;118209;;118410;;37146;;31256;;50231;;43400;;6956;;11768;;12481;;13717;;8933;;11123;;;;;;;;2123;;2102;;1470;;;;971;;;;573;;;;100;;;;631;;;;205;;;;516;;;;;;;;;;;;34;;;;;;;;151;;;;113;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360;;230;
116;"Duisburg II";5;;171011;;;;103924;;;;1799;;1555;;102125;;102369;;27634;;24190;;47568;;40861;;5734;;8813;;11275;;13901;;6288;;7577;;;;;;;;1685;;3042;;2019;;;;885;;;;540;;;;58;;;;533;;;;187;;;;488;;;;;;;;;;;;34;;;;;;275;;178;;;;87;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;309;;302;
117;"Oberhausen - Wesel III";5;208991;212283;;;147689;148108;;;2480;1982;1925;1803;145209;146126;145764;146305;46889;40001;43882;35712;65441;65189;60221;57689;2415;9231;4803;15049;10627;14008;11732;16311;11396;14772;9604;13352;;;;;4440;;3579;2325;4001;2643;2937;2011;;;;1109;;;234;480;;;168;106;;;;740;;;105;211;;;;667;;;;;;;;;;;49;43;;;;;;282;90;118;;;293;119;;;47;35;;;6145;;;;155;;;;639;;;;51;;;;;;;;224;;;;168;;;;106;;;;532;;;;;;;;;;;;;;;;;;;;;228;
118;"Mülheim - Essen I";5;191475;194638;;;140974;140658;;;1800;1722;1498;1407;139174;138936;139476;139251;49487;44653;47247;37762;58741;57547;53275;49498;3412;11852;6388;18416;7664;12143;8968;13226;8844;10801;9837;13253;;;;;3093;;2857;2054;2337;1940;2030;1458;;;;1018;;;227;538;;;144;97;;;;698;;;77;227;;;;518;;;;;;;;;;;40;60;;;;;222;;107;139;;;217;108;;;42;32;5374;;6404;;;;209;;;;469;;;;53;;;;;;;;167;;;;149;;;;78;;;;491;;;;;;;;;;;;;;;;;;;;;149;
119;"Essen II";5;167962;171457;;;108488;107997;;;1611;1581;1319;1308;106877;106416;107169;106689;33219;28968;30526;25067;51630;49023;44666;41637;1718;6967;3617;10947;7738;11065;8707;12431;5375;7352;7598;9495;;;;;3045;;2725;1852;2878;2218;2012;1619;;;;874;;;370;979;;;88;65;;;;565;;;51;171;;;;407;;;;;;;;;302;583;81;154;;;;;240;240;168;141;;;191;118;;;20;31;;;4531;;;;231;;;;383;;;;27;;;;;;;;210;;;;153;;;;92;;732;;722;;;;;;;;;;;;;;;;;;;;;136;
120;"Essen III";5;195692;197729;;;150974;149281;;;1555;1591;1295;1198;149419;147690;149679;148083;59043;53269;54283;44455;59040;57055;49614;45888;3011;11035;8572;20829;7363;10240;9853;12239;11552;13969;14517;17807;;;;;3138;;3092;2341;1499;1614;1304;1227;;;;915;;;210;598;;;191;109;;;;525;;;55;173;;;;404;;;;;;;;;210;508;94;148;;;;;;;98;91;;;188;142;;;45;39;4016;;5785;;;;155;;;;321;;;;22;;;;;;;;230;;;;208;;;;92;;;;750;;;;;;;;;;;;;;;;;;547;;;153;
